title,url,year
Baldur's Gate III,https://www.mobygames.com/game/150689/baldurs-gate-iii/,2020
Half-Life: Alyx,https://www.mobygames.com/game/143668/half-life-alyx/,2020
Final Fantasy VII: Remake,https://www.mobygames.com/game/141485/final-fantasy-vii-remake/,2020
The Last of Us: Part II,https://www.mobygames.com/game/146798/the-last-of-us-part-ii/,2020
Microsoft Flight Simulator,https://www.mobygames.com/game/149407/microsoft-flight-simulator/,2020
Ori and the Will of the Wisps,https://www.mobygames.com/game/142015/ori-and-the-will-of-the-wisps/,2020
Demon's Souls,https://www.mobygames.com/game/153477/demons-souls/,2020
Animal Crossing: New Horizons,https://www.mobygames.com/game/141533/animal-crossing-new-horizons/,2020
Tony Hawk's Pro Skater 1 + 2,https://www.mobygames.com/game/150140/tony-hawks-pro-skater-1-2/,2020
Doom Eternal,https://www.mobygames.com/game/143581/doom-eternal/,2020
Ghost of Tsushima,https://www.mobygames.com/game/146988/ghost-of-tsushima/,2020
Huntdown,https://www.mobygames.com/game/145442/huntdown/,2020
Xenoblade Chronicles: Definitive Edition,https://www.mobygames.com/game/145915/xenoblade-chronicles-definitive-edition/,2020
Yakuza: Like a Dragon,https://www.mobygames.com/game/153150/yakuza-like-a-dragon/,2020
Streets of Rage 4,https://www.mobygames.com/game/142906/streets-of-rage-4/,2020
PlayStation 5 (included game),https://www.mobygames.com/game/153499/playstation-5-included-game/,2020
Crusader Kings III,https://www.mobygames.com/game/149534/crusader-kings-iii/,2020
Rogue Legacy 2,https://www.mobygames.com/game/149441/rogue-legacy-2/,2020
Dreams,https://www.mobygames.com/game/141439/dreams/,2020
Omori,https://www.mobygames.com/game/155960/omori/,2020
Command & Conquer: Remastered Collection,https://www.mobygames.com/game/146084/command-conquer-remastered-collection/,2020
Pikmin 3 Deluxe,https://www.mobygames.com/game/152363/pikmin-3-deluxe/,2020
Wasteland 3,https://www.mobygames.com/game/149844/wasteland-3/,2020
Desperados III,https://www.mobygames.com/game/146501/desperados-iii/,2020
Nioh 2,https://www.mobygames.com/game/141524/nioh-2/,2020
Mafia: Definitive Edition,https://www.mobygames.com/game/150805/mafia-definitive-edition/,2020
Mortal Kombat 11: Ultimate,https://www.mobygames.com/game/153717/mortal-kombat-11-ultimate/,2020
There Is No Game: Wrong Dimension,https://www.mobygames.com/game/149044/there-is-no-game-wrong-dimension/,2020
F1 2020,https://www.mobygames.com/game/146928/f1-2020/,2020
Walkabout Mini Golf,https://www.mobygames.com/game/167763/walkabout-mini-golf/,2020
Marvel Spider-Man: Miles Morales,https://www.mobygames.com/game/153496/marvel-spider-man-miles-morales/,2020
Crash Bandicoot 4: It's About Time,https://www.mobygames.com/game/151114/crash-bandicoot-4-its-about-time/,2020
Travellers Rest,https://www.mobygames.com/game/148626/travellers-rest/,2020
League of Legends: Wild Rift,https://www.mobygames.com/game/158850/league-of-legends-wild-rift/,2020
Chicken Police: Paint it Red!,https://www.mobygames.com/game/152571/chicken-police-paint-it-red/,2020
Prodeus,https://www.mobygames.com/game/153160/prodeus/,2020
Bayonetta Vanquish: 10th Anniversary Bundle,https://www.mobygames.com/game/142650/bayonetta-vanquish-10th-anniversary-bundle/,2020
Devil May Cry 5: Special Edition,https://www.mobygames.com/game/153390/devil-may-cry-5-special-edition/,2020
Cupid Parasite,https://www.mobygames.com/game/174766/cupid-parasite/,2020
Not for Broadcast,https://www.mobygames.com/game/141682/not-for-broadcast/,2020
Shin Megami Tensei III: Nocturne - HD Remaster,https://www.mobygames.com/game/152464/shin-megami-tensei-iii-nocturne-hd-remaster/,2020
Atelier Ryza 2: Lost Legends & the Secret Fairy,https://www.mobygames.com/game/157842/atelier-ryza-2-lost-legends-the-secret-fairy/,2020
Dreamscaper,https://www.mobygames.com/game/149340/dreamscaper/,2020
Labyrinth of Galleria: The Moon Society,https://www.mobygames.com/game/190679/labyrinth-of-galleria-the-moon-society/,2020
Tokyo Mirage Sessions ♯FE: Encore,https://www.mobygames.com/game/135221/tokyo-mirage-sessions-fe-encore/,2020
Assassin's Creed: Valhalla,https://www.mobygames.com/game/153392/assassins-creed-valhalla/,2020
Alba: A Wildlife Adventure,https://www.mobygames.com/game/155505/alba-a-wildlife-adventure/,2020
Mega Man Zero/ZX Legacy Collection,https://www.mobygames.com/game/142944/mega-man-zerozx-legacy-collection/,2020
Pixel Ripped 1995,https://www.mobygames.com/game/143388/pixel-ripped-1995/,2020
Mission: It's Complicated,https://www.mobygames.com/game/183321/mission-its-complicated/,2020
Undernauts: Labyrinth of Yomi,https://www.mobygames.com/game/174343/undernauts-labyrinth-of-yomi/,2020
Halo 3,https://www.mobygames.com/game/148097/halo-3/,2020
Borderlands: Legendary Collection,https://www.mobygames.com/game/145948/borderlands-legendary-collection/,2020
Puyo Puyo Tetris 2,https://www.mobygames.com/game/155360/puyo-puyo-tetris-2/,2020
World of Horror,https://www.mobygames.com/game/142749/world-of-horror/,2020
Paradise Killer,https://www.mobygames.com/game/150137/paradise-killer/,2020
Sam & Max: Save the World,https://www.mobygames.com/game/154883/sam-max-save-the-world/,2020
Teardown,https://www.mobygames.com/game/152216/teardown/,2020
Hatsune Miku: Project DIVA Mega Mix,https://www.mobygames.com/game/144502/hatsune-miku-project-diva-mega-mix/,2020
Two Point Hospital,https://www.mobygames.com/game/143086/two-point-hospital/,2020
Ghostrunner,https://www.mobygames.com/game/151921/ghostrunner/,2020
