platform,moby_id,director,director_ID,producer,producer_ID,developer,developer_ID
Windows,150689,Swen Vincke,109090,David Walgrave,156386,Spencer Low,97608
Nintendo Switch,203119,Hidemaro Fujibayashi,148714,Daisuke Fukuyama,1178505,Ryota Maruko,430312
PlayStation 5,230088,Sebastian Brueckner,377868,Hideki Sakamoto,241065,Christopher Salay,1251234
Nintendo Switch,199460,Dylan Jobe,144380,Michael Kelbaugh,51936,Shirley Tang,121340
Windows,174989,Hidetaka Miyazaki,277976,Eiichi Nakajima,151348,Ming Juang,888730
Windows,231733,Katsura Hashino,233225,Taizo Hiramoto,343953,Bryant Green,501258
Windows,241065,Guillaume Broche,774198,Vincent Constantin-Turki,1003136,,
PlayStation 4,195074,Eric Williams,73057,Chad Cox,267324,Meghan Morgan Juinio,273553
PlayStation 5,200900,Yasuhiro Anpo,47332,Hideki Fujii,417594,Maurice Ossenbrink,619840
Windows,200900,Yasuhiro Anpo,47332,Hideki Fujii,417594,Maurice Ossenbrink,619840
Windows,246839,Jack Vine,1053484,,,,
Windows,238381,Josef Fares,510162,Daniel Issa,900381,Frederik Alexander Plucinski,585814
PlayStation 5,216560,Ryosuke Horii,498743,Jun Orihara,44497,Takashi Atsu,44506
Nintendo Switch,210462,Shiro Mouri,69447,Hanako Furuya,816168,Naoki Mineta,430309
PlayStation 5,203910,Kakunoshin Atsumi,268122,Taichi Kamata,1438591,Elliott Mark Smith,1154943
PlayStation 5,218917,Tetsuya Nomura,33342,Shinpei Yashima,819608,Elouan Bretagne,1331657
Nintendo Switch,170577,Hirokazu Koyama,1004993,Keita Haga,973461,Tomomi Osawa,431361
Nintendo Switch 2,245083,Kenta Motokura,57572,Kenta Motokura,57572,Hirokazu Matsuda,156895
PlayStation 5,193990,Takayuki Iwasaki,457979,Kei Mikami,814727,,
Windows Apps,240176,,,,,Vladimir Kovač,1093818
Windows,240176,Davide Pellino,1154660,Axel Haavikko,1815767,Matejka Ivančić,1127197
Windows,170037,Lisette Titre-Montgomery,144552,Andy Alamano,59207,Caryl D. Shaw,115990
Windows,236887,Daniel Vávra,87738,Martin Klíma,105150,Petr Nohavica,1800660
PlayStation 5,216563,Katsuhiro Harada,274780,Kouhei Ikeda,92377,Kentaro Fukumoto,130467
Windows,143668,,,,,Anton Bersenev,1077025
PlayStation 5,161320,Josef Fares,510162,Aimar Bergan,915202,,
Windows,161320,Josef Fares,510162,Aimar Bergan,915202,Steve Pointon,113090
PlayStation 4,141485,Tetsuya Nomura,33342,Yuma Watanabe,1146870,Ayumu Miura,817705
PlayStation 5,238122,Yuya Tokuda,306437,Ryozo Tsujimoto,151656,Maurice Ossenbrink,619840
PlayStation 4,146798,Neil Druckmann,164644,Kirsten Scoles,565519,Dinah Bakeer,1095800
Nintendo Switch,188601,Mamoru Ohta,413262,Hirotsugu Shimoyama,1180156,,
Nintendo Switch,172841,José Luis Márquez Arroyo,291130,Yoshio Sakamoto,74231,Fernando Ferrando Terrádez,986367
Windows,149407,David Dedeine,63866,Martial Bossard,153571,Olivier Guerrero,1108844
Windows,142015,Thomas Mahler,461010,Frans Kasper,546152,Anne Juenger,1072941
Xbox One,142015,Thomas Mahler,461010,Frans Kasper,546152,Anne Juenger,1072941
Nintendo Switch,230048,Yukiko Karashima,1095611,Naoki Horii,204619,Michael Rajna,189006
Windows,174940,Adam Askew,109909,Michael Bennett,101857,Katrin Hilman,1046211
PlayStation 5,190774,Bruce Straley,69077,Jennifer Jessee,677217,Bruce Straley,69077
PlayStation 5,244242,Hideo Kojima,50433,Hideo Kojima,50433,Ray Khalastchi,279063
PlayStation 5,198497,John Johanas,657799,Shinji Mikami,47337,Todd Vaughn,30595
Windows,198497,John Johanas,657799,Shinji Mikami,47337,Todd Vaughn,30595
Windows,195765,Matthias Linda,1449586,,,,
Nintendo Switch,224693,Masahiko Nagaya,258584,Palma Sánchez de Moya Rodríguez,273172,Kenji Yamada,72098
PlayStation 5,210733,Michael Yosh,163100,Mark Cerny,18633,Salina Williams,1551872
Windows,194057,Jaeho Hwang,832808,Daehwon Kim,1180297,Yongik Jung,1391988
Windows,225958,Shigeo Komori,318259,James Kuroki,153178,Bryant Green,501258
Windows,176849,Kurt Margenau,323138,Sam Thompson,40557,Grady Hunt,40553
PlayStation 5,153477,Adam Rehmann,1187384,Teruyuki Toriyama,324768,Alistair O'Neil,1187427
Windows,245849,Ben Fiquet,417770,Sacha Szymoniak,1559610,Irwin Chen,37200
Windows,248605,Cyrille Lagarigue,409718,Cyrille Imbert,502587,Beausoleil Samson-Guillemette,234027
Windows,198508,Michael Yazijian,120203,Philippe Ducharme,186182,Greg Lutzer,7694
Windows,210927,Sami Järvi,108328,Joonas Tamminen,299963,Tristan Lefranc,53265
Windows,207900,Thierry Boulanger,981033,Philip Barclay,981039,,
PlayStation 5,216878,Takuya Yamaguchi,364173,Ryōta Niitsuma,362265,Johnny Minh Huynh,871956
Windows,172725,Hideo Kojima,50433,Angie Smets,164227,Ken Inagaki,198004
PlayStation 5,219115,Takafumi Noma,70112,Hitoshi Sakimoto,57177,Shinjirō Takata,463551
Nintendo Switch,158999,,,Shuntaro Furukawa,1020024,Yuri Adachi,249174
PlayStation 5,216448,Matthew R. Gallant,527364,Kelsey Mabbott,1404864,Bruce Straley,69077
Nintendo Switch,141533,Aya Kyogoku,158652,Federico Maggi,308436,Toshiharu Izuno,100561
Windows,150140,John A. Dobbie,76746,Thomas Jaklitsch,827201,Steve Derrick,62663
Nintendo Switch,239702,Hirotaka Orita,145641,Akihiro Imai,94887,,
Windows,166282,Hugo van der Heiden,146477,Justin van Luijk,721045,,
PlayStation 5,166282,Scott J. Michalek,467541,Cory Hoover,569465,Aaron Sumsky,803845
Windows,211252,Davor Hunski,41188,Roman Ribarić,41195,,
Nintendo Switch,224039,Simon Flesser,353673,,,,
Windows,216014,Mounir Radi,498687,Abdelhak Elguess,43525,Brooke Allison,979480
Windows,143581,Hugo Martin,278500,Marty Stratton,1070,Matthew Michler,491490
Windows,194426,Joshua Eric Sawyer,26242,,,Riley Cran,1189681
PlayStation 5,231515,Mateusz Lenart,605554,Motoi Okamoto,55591,Dominik Majewski,986175
Windows,231515,Mateusz Lenart,605554,Motoi Okamoto,55591,Dominik Majewski,986175
Nintendo Switch,199777,Tetsuya Nomura,33342,Ichiro Hazama,34442,Benjamin Berlin,552824
PlayStation 5,248541,Ivy Isenberg,449753,Ryuhei Katami,546027,Grady Hunt,40553
Windows,195171,Chris Kohler,349893,Drew Scanlon,279791,Tom Russo,77778
PlayStation 5,178917,Jan-Bart van Beek,164214,Angie Smets,164227,Tim Symons,337509
Windows,234173,Jerk Gustafsson,74583,Todd Howard,16249,Fredrik Wallin,1386834
Windows,236760,Chris Wright,359236,Louis Li,421807,Max Knechtel,599568
Nintendo Switch,193002,Davide Soliani,53204,Xavier Manzanares,207508,Davide Mensi,1347850
Windows,223635,Remy Siu,1680408,N. Tan,1680410,Remy Siu,1680408
Windows,163431,Ben Potton,36177,Doug Townsley,36169,,
PlayStation 5,163431,Harry Krueger,475574,Jari Hokkanen,588928,Sami Hakala,605761
Nintendo Switch,181802,Shinya Kumazaki,349934,Liam Higgins,565266,,
Windows,209564,Jeppe Carlsen,397097,,,,
PlayStation 4,146988,Ivy Isenberg,449753,Ryuhei Katami,546027,Connie Booth,41950
Windows,242779,Henrique Lorenzi,1186364,Henrique Alonso Caprino,995794,Carlos Martin,250770
Windows,232022,Conrad Roset,956752,Roger Mendoza,549804,,
Windows,145442,Tommy Gustafsson,1092759,Anton Westbergh,480811,Adrian Comeau,930085
Windows,180087,Takahiro Noda,71639,Akio Shiraishi,954806,Tomasz Rozejowski,954884
Windows,180055,Ian Roxburgh,108645,Dominic Read,693785,Mark Sutherns,81125
Nintendo Switch,145915,Eiji Takahashi,34391,Kenji Hiramatsu,440873,,
Windows,186311,Ryann Shannon,992697,Nicos Kennedy,1246717,Benjamin Esposito,545873
Windows,224086,Alessandro C. Martinello,1685843,,,,
Windows,230832,Jakub Dzierżykraj-Stokalski,1547976,Marcin Eller,1162368,Bartosz Sobolewski,939695
Windows,169609,Larry Kuperman,54861,Karlee Wetzel,744069,James Haley,702302
PlayStation 5,211270,Yūichirō Kitao,528675,Yuen-Yuen Chen,179356,Benjamin Berlin,552824
Windows,164405,Mac Walters,179405,Melanie Faulknor,468759,Chris Smith,977740
Windows,187183,Akira Okada,509943,Alex Flagg,720094,,
Nintendo Switch,160124,Kotaro Miyabe,679862,Tomoya Iwasawa,859011,Akitoshi Sakaguchi,520967
PlayStation 4,153150,Ryosuke Horii,498743,Haruyoshi Tomita,46067,Mitsunori Fujimoto,204757
PlayStation 5,180080,Kazunori Yamauchi,38297,Mayumi Suzaki,38315,Tomonari Kai,386004
Windows,157629,Mattias Engström,285196,Forest Swartout Large,347698,Clemens Koch,552895
Windows,241974,Jim Bach,1877815,Justin Skerpan,1877817,Lear Darocy,491474
PlayStation 5,193347,Takashi Katano,34387,Hiroaki Kato,108161,Katsuhiko Tooya,1384106
Nintendo Switch,143125,Akira Kosemura,1558956,Akira Kosemura,1558956,Sui Ishida,1558955
Windows,228659,Will Todd,1051438,Alyssa Harrison,1029688,Alastair Hebson,421335
Windows,205088,Atsushi Maruyama,1388517,Shingo Izumi,944255,Maurice Ossenbrink,619840
iPhone,142906,Ben Fiquet,417770,Cyrille Imbert,502587,Antonin Lohner,1094699
PlayStation 4,142906,Ben Fiquet,417770,Cyrille Imbert,502587,Jules Hirtzig,1013842
Windows,142906,Ben Fiquet,417770,Cyrille Imbert,502587,Jules Hirtzig,1013842
PlayStation 5,153499,Sebastian Brueckner,377868,Nicolas Doucet,74676,Elodie Hummel,44071
Nintendo Switch,174498,Shigeo Komori,318259,James Kuroki,153178,Manabu Yoshida,151284
Windows,241084,Kotaro Uchikoshi,322766,Kimiko Kudo,1824638,Scott Johnson,1824750
Windows,163363,Tetsuya Nomura,33342,Yuma Watanabe,1146870,Ayumu Miura,817705
Windows,149534,Johan Andersson,39146,Linda Tiger,208194,Rodrigue Delrue,1020564
Windows,230414,Yasuyuki Tsujino,182047,Shuhei Matsumoto,853880,Maurice Ossenbrink,619840
PlayStation 5,243163,David Jaumandreu De Prado,813504,Cyrille Imbert,502587,Jules Hirtzig,1013842
Windows,243163,David Jaumandreu De Prado,813504,Cyrille Imbert,502587,Jules Hirtzig,1013842
Windows,149441,Matt Hammill,305350,Rachel Sim,938595,Ryan Lee,582235
Nintendo Switch,231129,Satoshi Terada,277420,Araceli Mazón Figueroa,276100,Shun Moriya,33359
Windows,243161,Yuji Korekado,57952,Akihiro Teruta,124897,Ayumi Logan,291652
Windows,190202,Sam Barlow,173088,Natalie Watson,1275455,Max Knechtel,599568
Windows,229435,John Roberts,570228,,,,
Windows,193748,Martin Anward,607437,Daniel Olsson,577916,Maciej Kozłowski,929684
Windows,245183,Barney Cumming,332564,,,,
Windows,191783,Rex Crowle,201504,Jenn Sandercock,627342,Paul Southern,319490
Windows,207696,Enrique Cabeza,763309,David Erosa García,739055,Dave Wood,433921
Windows,228673,AG Chen,1718956,Ted Chang,1226701,,
PlayStation 5,199652,Keisuke Miyauchi,93329,Takashi Iwama,37033,Ayumi Logan,291652
Nintendo Switch,199652,Keisuke Miyauchi,93329,Takashi Iwama,37033,Ayumi Logan,291652
Windows,143045,Dimas Novan Delfiano,1063617,Eka Pramudita Muharram,1063568,,
Windows,204085,Joe Shely,131872,José Antonio Achúcarro Roque,463235,Andrea Piccolo,1059469
Windows,207099,Larry Kuperman,54861,Karlee Wetzel,744069,James Haley,702302
Windows,243602,Tomasz Kisilewicz,939703,Bartłomiej Gwardiak,673911,Piotr Bajraszewski,918234
Windows,233313,Masayuki Saito,247128,Masaaki Hayasaka,868304,Lina Nagai,825012
Windows,232002,David Clark,127830,,,,
PlayStation 4,168299,Tatsuya Kando,33352,Tomohiko Hirano,219568,Krishna Govind,1253612
PlayStation 4,141439,Siobhan Reddy,35722,Jemma Harris,507712,Ryan Stephen Moore,113127
Windows,238456,Takahiro Sakiyama,213223,Yuzo Amano,224307,Michael Rajna,189006
Nintendo Switch 2,243068,Kenta Sato,118699,Kosuke Yabuki,249124,,
Quest,213969,William A. Spence IV,69320,Ghislain Groulx,424941,Jenny Huang,51807
PlayStation 5,204724,Hiroshi Takai,41639,Nao Matsuda,189817,Yusuke Hashimoto,1897194
PlayStation 5,246692,Matt Nava,361254,Patrick Quah,1136719,,
