moby_id,name_,releasedate,releaseplatform,publishers,developers,mobyscore,rank_,total,collectedby,ranking_windows,ranking_ps5,ranking_xbox,ranking_macintosh,ranking_nintendo,genre,Genre,Perspective,Visual,Pacing,Interface,Setting,Misc,ESRB Rating,Business Model,Media Type,critics_overall_rating,critics_total_reviews,players_overall_rating,players_total_reviews
150689,Baldur's Gate III,"October 6, 2020",Windows,Larian Studios NV,Larian Studios NV,9.4,2,27.1K,420,#1,#4,#7,,,Role-playing (RPG),,Diagonal-down,2D scrolling,Turn-based,Multiple units/characters control; Point and select,Fantasy,Licensed,Mature,Commercial,Download,95%,190,4.6,91
203119,The Legend of Zelda: Tears of the Kingdom,"May 12, 2023",Nintendo Switch,"Nintendo Co., Ltd.",Nintendo EPD,9.4,4,27.1K,329,,,,,,Action,,Behind view,,,Direct control,Fantasy,,Everyone 10+,Commercial,Download; Game Card,95%,155,4.5,70
230088,Astro Bot,"September 5, 2024",PlayStation 5,Sony Interactive Entertainment Inc.,Team ASOBI,9.3,5,27.1K,102,,#2,,,,Action,,3rd-person (Other),Cinematic camera,,Direct control,Sci-fi / futuristic,,Everyone 10+,Commercial,Download; UHD Blu-ray Disc,94%,155,4.5,16
199460,Metroid Prime: Remastered,"February 8, 2023",Nintendo Switch,"Nintendo Co., Ltd.",Retro Studios Inc.,9.3,7,27.1K,165,,,,,,Action,,1st-person,,,Direct control,Sci-fi / futuristic,,Teen,Commercial,Download; Game Card,94%,129,4.3,31
223472,Hades II,"May 6, 2024",Windows,"Supergiant Games, Inc.","Supergiant Games, Inc.",9.3,8,27.1K,67,#6,,,,,Role-playing (RPG),,Diagonal-down,Isometric,,Direct control,Classical antiquity; Fantasy,,,Commercial,Download,95%,90,3.5,11
174989,Elden Ring,"February 25, 2022",Windows,"FromSoftware, Inc.; Bandai Namco Entertainment Inc.","FromSoftware, Inc.",9.2,9,27.1K,474,#27,#1,#2,,,Role-playing (RPG),,Behind view,,,Direct control,Fantasy,,,Commercial,Download,95%,135,4.4,107
231733,Metaphor: ReFantazio,"October 11, 2024",Windows,"SEGA Corporation; SEGA of America, Inc.","Atlus Co., Ltd.",9.2,10,27.1K,98,#3,#6,#3,,,Role-playing (RPG),,Behind view,,Turn-based,Direct control,Fantasy,,,Commercial,Download,94%,108,4.5,21
241065,Clair Obscur: Expedition 33,"April 24, 2025",Windows,"Kepler Interactive Limited; Smilegate Entertainment, Inc.",Sandfall SAS,9.2,12,27.1K,116,#5,#5,#1,,,Role-playing (RPG),,Behind view,,Real-time; Turn-based,Multiple units/characters control,Fantasy,,,Commercial,Download,93%,165,4.6,35
195074,God of War: Ragnarök,"November 9, 2022",PlayStation 4,Sony Interactive Entertainment America LLC,SIE Santa Monica Studio,9.2,13,27.1K,195,,#3,,,,Action,,Behind view,,,Direct control,Fantasy,,Mature,Commercial,Download,94%,172,4.1,42
200900,Resident Evil 4,"March 24, 2023",Windows,"Capcom Co., Ltd.","Capcom Co., Ltd.",9.1,16,27.1K,267,#31,#7,#6,,,Action,,Behind view,,,Direct control,Contemporary; Europe; Fantasy,,,Commercial,Download,92%,214,4.4,48
246839,Hollow Knight: Silksong,"September 4, 2025",Windows,Team Cherry Pty Ltd.,Team Cherry Pty Ltd.,9.1,23,27.1K,59,#7,#19,#28,,,Action,,Side view,2D scrolling,,Direct control,Fantasy,,,Commercial,Download,92%,109,4.2,10
