moby_id,store,platform,format,used_price_url,new_price_url,updated_date
150689,Amazon,PlayStation 5,Physical,https://www.amazon.com/gp/search?ie=UTF8&index=videogames&tag=mobygames02-20&keywords=Baldur's Gate III PlayStation 5,https://www.amazon.com/gp/search?ie=UTF8&index=videogames&tag=mobygames02-20&keywords=Baldur's Gate III PlayStation 5,
150689,eBay,PlayStation 5,Physical,https://www.ebay.com/sch/i.html?_from=R40&_trksid=p2380057.m570.l1313&_nkw=Baldur's Gate III PlayStation 5&_sacat=0&mkcid=1&mkrid=711-53200-19255-0&siteid=0&campid=5338937171&customid=&toolid=10001&mkevt=1,https://www.ebay.com/sch/i.html?_from=R40&_trksid=p2380057.m570.l1313&_nkw=Baldur's Gate III PlayStation 5&_sacat=0&mkcid=1&mkrid=711-53200-19255-0&siteid=0&campid=5338937171&customid=&toolid=10001&mkevt=1,
150689,Playstation.com,PlayStation 5,Digital,https://store.playstation.com/en-us/product/UP3526-PPSA14001_00-0507384846053057,https://store.playstation.com/en-us/product/UP3526-PPSA14001_00-0507384846053057,11/5/2025
150689,Amazon,Windows,Physical,https://www.amazon.com/gp/search?ie=UTF8&index=videogames&tag=mobygames02-20&keywords=Baldur's Gate III Windows,https://www.amazon.com/gp/search?ie=UTF8&index=videogames&tag=mobygames02-20&keywords=Baldur's Gate III Windows,
150689,eBay,Windows,Physical,https://www.ebay.com/sch/i.html?_from=R40&_trksid=p2380057.m570.l1313&_nkw=Baldur's Gate III Windows&_sacat=0&mkcid=1&mkrid=711-53200-19255-0&siteid=0&campid=5338937171&customid=&toolid=10001&mkevt=1,https://www.ebay.com/sch/i.html?_from=R40&_trksid=p2380057.m570.l1313&_nkw=Baldur's Gate III Windows&_sacat=0&mkcid=1&mkrid=711-53200-19255-0&siteid=0&campid=5338937171&customid=&toolid=10001&mkevt=1,
150689,Steam,Windows,Digital,https://store.steampowered.com/app/1086940/,https://store.steampowered.com/app/1086940/,11/5/2025
150689,GOG.com,Windows,Digital,https://www.kqzyfj.com/click-101240826-15297138?url=https%3A%2F%2Fwww.gog.com%2Fen%2Fgame%2Fbaldurs_gate_iii%3FcurrencyCode%3DUSD%26countryCode%3DUS&cjsku=1456460669,https://www.kqzyfj.com/click-101240826-15297138?url=https%3A%2F%2Fwww.gog.com%2Fen%2Fgame%2Fbaldurs_gate_iii%3FcurrencyCode%3DUSD%26countryCode%3DUS&cjsku=1456460669,11/5/2025
150689,Amazon,Xbox Series,Physical,https://www.amazon.com/gp/search?ie=UTF8&index=videogames&tag=mobygames02-20&keywords=Baldur's Gate III Xbox Series,https://www.amazon.com/gp/search?ie=UTF8&index=videogames&tag=mobygames02-20&keywords=Baldur's Gate III Xbox Series,
150689,eBay,Xbox Series,Physical,https://www.ebay.com/sch/i.html?_from=R40&_trksid=p2380057.m570.l1313&_nkw=Baldur's Gate III Xbox Series&_sacat=0&mkcid=1&mkrid=711-53200-19255-0&siteid=0&campid=5338937171&customid=&toolid=10001&mkevt=1,https://www.ebay.com/sch/i.html?_from=R40&_trksid=p2380057.m570.l1313&_nkw=Baldur's Gate III Xbox Series&_sacat=0&mkcid=1&mkrid=711-53200-19255-0&siteid=0&campid=5338937171&customid=&toolid=10001&mkevt=1,
150689,GOG.com,Macintosh,Digital,https://www.kqzyfj.com/click-101240826-15297138?url=https%3A%2F%2Fwww.gog.com%2Fen%2Fgame%2Fbaldurs_gate_iii%3FcurrencyCode%3DUSD%26countryCode%3DUS&cjsku=1456460669,https://www.kqzyfj.com/click-101240826-15297138?url=https%3A%2F%2Fwww.gog.com%2Fen%2Fgame%2Fbaldurs_gate_iii%3FcurrencyCode%3DUSD%26countryCode%3DUS&cjsku=1456460669,11/5/2025
