moby_id,platform,Business Model,min_os,supported_system,min_ram,supported_drivers,media_type,gamepads_Supported
150689,Macintosh+,Commercial,macOS 10.15.6,x64 (64-bit),8 GB,Vulkan,Download,DualShock 4; Xbox One/Series Wireless Controller
150689,Windows+,Commercial,Windows 7 SP1,x64 (64-bit),8 GB,Direct3D; Vulkan,Download,DualShock 4; DualSense Controller; Xbox One/Series Wireless Controller
150689,Xbox Series+,Commercial,,,,,Download,
203119,Nintendo Switch+,Commercial,,,,,Download; Game Card,
230088,PlayStation 5+,Commercial,,,,,Download; UHD Blu-ray Disc,DualSense Controller
199460,Nintendo Switch+,Commercial,,,,,Download; Game Card,
223472,Macintosh+,Commercial,macOS 12 (Monterey),x64 (64-bit),,,Download,DualShock 4; DualSense Controller; Xbox One/Series Wireless Controller
223472,Windows+,Commercial,Windows 10,x64 (64-bit),8 GB,,Download,DualShock 4; DualSense Controller; Xbox One/Series Wireless Controller
174989,Windows+,Commercial,Windows 10,x64 (64-bit),12 GB,Direct3D,Download,Xbox One/Series Wireless Controller
174989,Xbox One+,Commercial,,,,,Download,
174989,Xbox Series+,Commercial,,,,,Download,
231733,Windows+,Commercial,Windows 10,x64 (64-bit),6 GB,,Download,DualShock 4; DualSense Controller; Xbox One/Series Wireless Controller
241065,Windows+,Commercial,Windows 10,x64 (64-bit),8 GB,Direct3D,Download,DualSense Controller; Xbox One/Series Wireless Controller
195074,PlayStation 4+,Commercial,,,,,Download,DualShock 4
195074,PlayStation 5+,Commercial,,,,,Download,DualSense Controller
200900,PlayStation 5+,Commercial,,,,,Blu-Ray Disc; Download,DualSense Controller
200900,Windows+,Commercial,Windows 10,x64 (64-bit),8 GB,,Download,Xbox One/Series Wireless Controller
246839,Linux+,Commercial,,x64 (64-bit),4 GB,,Download,
246839,Macintosh+,Commercial,macOS 11.0 (Big Sur),x64 (64-bit),4 GB,,Download,DualShock 4; DualSense Controller; Xbox One/Series Wireless Controller
